电影名,评分,短评数量,热评1,热评2,热评3,热评4,热评5
剪刀手爱德华 Edward Scissorhands,8.7,113774,爱德华的眼睛让人心疼,"JohnnyDepp最经典的一部片.
很美丽的童话.
那个孤独而美丽的爱德华让我至少哭了两遍!",美好的东西注定只能潜藏在角落,佩格居住的小镇是画笔般彩色的，这里的人们好奇热情也多疑。爱德华获得明星般的关注，也在人类的世界遭遇讨伐。金对于他，永远只能是剪刀下冰雕的女神像，无法拥抱，无法守护。完美的悲剧童话，如同后来每年的雪。 ,当年看的还是没有字幕版的。英文那时候还不是很会，看的真的就是表演了。很出色的片子！启蒙片
海蒂和爷爷 Heidi,9.2,66592,人至善，景至美，故事细腻，淳朴动人，人生本该如此，温情永存，何惧苦难？,难怪看到片名有种莫名的熟悉感，看正片后才知道这与高畑勲导演、宫崎骏担任场面设定的动画片《阿尔卑斯山的少女》改编自同小说《海蒂》，简直惊喜到不行。……故事温情脉脉，风景怡情养目，一段醉我心脾的观影历程。……有时，我以为看过几千部电影，会审美疲劳，可当碰到心仪之作依然能看得身心愉悦。,"愿意穷尽这一生，去守护海蒂洁白无瑕的笑容。Peter失手推下山的轮椅，反而成了帮助Klara重新站起来的助力，真的给人一种生命的美好会创造无限miracle的感觉。“If something in life brings you joy, then you simply have to do it, regardless of what people say.”",今年第一个惊喜！可能有点偏儿童，但绝对老少皆宜。小姑娘呀，你可千万别长残了,"海蒂失去了父母，于力失去了孩子，他们是两个被抛弃的人，恰好填补了对方缺失的部分。
来到克拉拉家，海蒂有了新衣服、新鞋子，有了食物，有了温暖的大床，她什么都有了，可是没有了爷爷、雪山和羊群。
你给了她物质生活，其实她要的是精神生活，要的是亲情和自由。
无数的规矩和礼仪把克拉拉压得喘不过气，让她产生了心病。不仅身体寸步难行，心理也被牢牢困住。
你以为你给了她一切，其实你根本不知道她想要的是什么。
正是..."
阿凡达 Avatar,8.7,141557, James Cameron闭上眼，全是电影的明天。,刚刚看完，浑身起鸡皮疙瘩，无愧于人类电影历史上一个里程碑,特效震惊，3D感一般，但够真实，故事一般，创意度一般，世界观展示一般，但呈现效果牛逼至死，战斗场面热闹和精彩，但谈不上震惊，整体只能说，整体符合预期，这是它的优点，但没有意想不到的亮点是它的遗憾之处。推荐观看。,汗，这片基本论调就是反人类嘛。这个电影是一定要去影院看的，就算没有IMAX，起码也要看个3D的。而下载党和碟党都可以考虑放弃这个电影了。因为除了视觉刺激，单从剧情看，有太多值得选择的电影。,"绿色，环保，和平，战争，爱情，友谊，
惊悚，悬疑，血腥，暴力，科幻，纪实，
肌肉佬，人兽交，重口味。。。。。。。
全都有了。
你是选择回老家做残障，
还是留在外地做皇帝？"
天使爱美丽 Le fabuleux destin d'Amélie Poulain,8.7,134745,看了心情会很好,浪漫到极至。,小聪明，小技俩，小阴谋，小可爱，电影是这么拍的。,颜色！Tautou！细节！XX！四星。再想想，就五星了。,浪漫到骨子里，忧郁，神经质，跳跃，文艺是很典型的法国电影啊！喜欢的人为它如痴如醉，不喜欢的人看的昏昏欲睡，两种极端。我只能说非常好，非常适合一遍一遍地欣赏。艾米丽是天使，拥抱世人，容纳那些不美好。
摩登时代 Modern Times,9.3,23329,如果电影不曾有过卓别林，该会是一个多么无趣的世界。光前30分钟就让我几度笑岔了气。荒谬有理，喜谑至极！,当人不再是人，而是机器,永远的卓别林,他是个天才。|他们两个坐在草地上遐想向往的生活的时候，神情是多么的美好啊~,卓别林系列儿时看得太多记不清谁是谁了……
加勒比海盗 Pirates of the Caribbean: The Curse of the Black Pearl,8.7,57140,所以海盗不只是有凶神恶煞那类的，还有阴柔如德普型，角色凌驾于故事就是这片了。,加勒比海盗这一系列我都特别喜欢，喜欢杰克幽默风趣，顽强，坚韧勇敢，像永远也打不死的小强，还有他的黑珍珠海盗船，太神奇了！,蜀黍！！！！！妖娆的我想shi！！！,船长登陆那一段，有点创意。,放荡不羁的杰克船长，以海为家，以船为马的海盗们，那是属于你们的航海时代，升起骷髅旗，去远航吧！
致命ID Identity,8.8,94587,精妙绝伦的剧本。大量的细节描写使得影片非常耐人寻味，切换焦点时镜头的微小变动更是非常隐喻。结局倒不出乎我的意料，这种片子到最后肯定会回头给观众一枪。编剧太牛了，前后呼应的巧妙简直让人佩服得五体投地。即使是6年前的片子，如今看来也生猛十足。,结局好狗血。俺还以为信橘子得永生呢。,吓得我都要人格分裂了！！！以后打死都不要再看恐怖烧脑片！！！！！,没办法不打五星啊，虽然不到一半就猜到了结局。,哇！我是那个被剧透了也觉得好看的人，我好厉害！
喜剧之王 喜劇之王,8.7,80524,星爷最好的三部电影之一。,“我是一个演员”，我最爱的周星驰作品，笑得流泪,你负责美丽妖艳，我负责努力赚钱,又有什么？谁说一个跑龙套的不能爱上一个妓女？,戏梦人生，笑中带泪，好作品
断背山 Brokeback Mountain,8.8,90703,i wish i knew how to quit you~,看来我没有弯的潜质，一上来我就把攻受猜反了,深邃的大山和静谧的流水，一段如歌的爱情与疼痛的秘密。,断背山讲述的并不仅仅是性，而是爱，一种因为犹疑而备受阻碍、最终化为心底悲哀的爱。,He was a friend of mine.
幽灵公主 もののけ姫,8.9,47892,宫骑骏就是个生态环保大师啊。,探讨过“反战”之后，宫崎骏把主题直刺人类的心脏——“人与自然的关系”。尽管宫崎骏自己也没有答案，但年纪已高的他忍着伤痛完成了这部触及人类内心深处的伟大史诗动画。加上久石让画龙点睛的配乐，使全片充满了浓郁的古日本风情，奏出了苍凉广阔、荡气回肠的效果。震撼又震惊！宫崎骏最优之作,嗯，原来这是个反战的电影。虽说从故事到画面都很有气势，但是总觉得少了些打动人心的东西,宫崎骏的少年永远美好,都不知道在说些什么，但是受伤的时候很让人心疼
杀人回忆 살인의 추억,8.8,85316,嗨凶手，你也在看这部片吗？送给你的，杀人回忆,还好柯南最后没出来,偏向于多人效仿作案，凶手不止一个。最后女学生是小白脸杀的可能性很大！言行逼供了三个人，只有小白脸最态度反抗、眼神一直有特写是充满恨意的，因为他并没有杀人还要被诬陷。出来后在酒馆喝酒，女学生从窗前走过也对他指点议论，让他觉得自己的名声已经彻底毁了洗不清了。所以最后警察媳妇和女学生同时出现他选了女学生。还有下手之前扶着树干的细嫩的手的特写。可能真的是出于报复——既然你们都觉得我是凶手那我就真杀个给你们...,拍得非常好，是不是传说里的评价太好了，我竟然有点小失望，一直到片尾也没满足。,又看了一遍，想当年第一次看这片时，我还恍惚觉得案子都没破就结束，什么玩意儿？！可多年过去，每一次重看，都更坚定地确定它的完美。一个没有找到凶手的故事，编导把它拍得悬疑跌宕而富有深意，看似普通实则卓尔不群，作为热爱电影的人，从这片里会深感电影的魅力
入殓师 おくりびと,8.8,77989,整矫情了..做殡葬业需要那么多感怀身世和心理建设吗...在我们中国，这是一个超级暴利而令人羡慕的行业,剧情编排、台词及表演均过于刻意，看到某个伏笔马上就能知道后招（澡堂老板娘，石头，鸡，怀孕，父亲，各样的误解与释怀）几乎感动不到人...因为前段看过验尸官记录片的缘故，设定上也没能打动我。广末凉子很萌很贴心，让人觉得有这样的妻子太幸福了.西施乳真有那么好吃么？那个炸鸡看起来倒是不错,"草野中木本拉奏提琴的容色有忧郁的神采.每一道程序日本人一贯的谨慎严肃和精微.对于逝去的人没有比这更好的尊重了.死亡并非代表一切终止了好的人生是一个自省的过程.于是才有谅解释怀充满了怜恤与爱的感情.感动由是草野上徜徉的音乐,飞起了生命的律动.",奥斯卡最佳外语片，这应该是继黑泽明那部《徳苏乌扎拉》后日本又一次赢得此奖项。日本人总能抓住人类内心的那份感情，而且能用电影语言表达出来那种共鸣感，这次他们对于人生死亡的态度，深深地让世界为之感动，影片缓慢细腻，用最实在的真情打动了人类的灵魂。,既然死是每个人终须面对的，何苦还挣扎于那些无谓的事情上？喝过的酒、爱过的人、浪费过的力气、余留下的残念、望不见的未来……凡此种种，终有一天烟消云散。我仿佛看见玫瑰落在眼睑上，作无人之眠。那里是我们曾眷恋和执着过的生命，还有无法逃离的死亡。
狩猎 Jagten,9.1,62897,占据道德的制高点猎杀他者，你手上可有血污！？,实在是一部虐心的片子。感觉这样的故事很像时下微博流行的一些谣言，我们都喜欢耸动的新闻，人们不关注真相，更关注这个故事是否与自己预想的一致，或是对自己有利。而恶意一旦形成，将伴你一生。黑暗压抑的故事，麦德斯的表演很棒。这是个寓言，所以情节会略有刻意，尽可能的虐心。,Mads Mikkelsen被冤枉以后变成汉尼拔报复社会了,童言无忌的威慑力足以将成人置于死地，但更怕的是人言可畏的成人世界，一味愚蠢、盲从、暴力，善良的猎人最终变成众人眼中的猎物。,前半部分悬念铺设出色，后半部分情绪掌控直击人心，点睛之笔的结局让人想起《家宴》。尽管是已经被讲过无数遍的故事，但温特伯格仍然能一步步将你带入其中，所有角色的心理和行为都是如此真实可信，也因此更感可怕，观影体验如身临其境般痛苦难熬，堪称一大虐片。麦德斯的表演依然上乘。
