电影名称,评分,短评数量,热门短评
重庆森林,8.7,全部 107802 条,"['那时她还被叫做王靖雯,小鹿様闪烁的眼神,细痩无邪的身体,疯狂的暗恋也不过是纯真执着的本能', '这部片里的王菲和金城武都还是他们最光芒万丈的时候.', '最喜欢王菲一边开着水龙头一边说因为下雨没有办法交电费.还有那个 加洲梦的音乐.', '城市里的现代童话..加州住着不同的人，流泪的房子和变胖的香皂', '你不说，我不说。']"
第六感,8.9,全部 72017 条,"['操，看之前让人给剧透了', '虽然第一次看《第六感》已是四年前的事，但现在仍然记忆犹新。看之前就知道这是一部惊悚片，看的过程也的确被个别镜头“惊悚”了几下，但没想到的是，真正令人恐惧，心有余悸的却是影片的最后一分钟。当之前两个小时“惊悚”情节的铺垫成熟时，最后一分钟的真相大白更像是一种宣泄，一种试图冲破所有观看者心里防线的宣泄，而我的确被深深地震撼到了，那是一种发自心灵深处的震颤，一种深刻的心理体验。', '又是一部以结局见长的电影', '他们无处不在，就像正常人一样到处行走，他们彼此看不到对方，只能看到他们想看到的东西。-“你想要什么？”-“我想要不再害怕……”', '四次情节升华：第一次是Cole帮助死去的小女孩如愿，代表与自己和解；第二次是Cole拔出石中剑，代表与同龄人和解；第三次是告诉妈妈真相，代表与家人和解，而妈妈也与自己的妈妈和解。第四次，也就是全篇最精彩的一笔，即Mike与妻子以及自己的和解。那些正常世界无法言语的，只能透过非正常的世界告知。']"
请以你的名字呼唤我,8.9,全部 125881 条,"['当年读小说的时候，就被最后老爹那段话感动，是那段话的态度，让整个故事变得不一样了。一个意大利少年和一个美国青年渡过了生命中的六周，他们之间不仅仅是同志感情，最后成了一种超越爱情和友谊的美好东西，告诉你要学会去感受生命中的一切，在年轻的时候拥抱所有感觉和情绪，就像一种修行和成长。', '我知道读书，知道游泳，知道改编乐曲，知道皮亚韦战役是最惨烈的战役之一……我什么都知道，却不知道怎么让你喜欢我。', '“我无法忍受沉默，而与你交谈恰是良药”两个人最好的状态是，你会啃我下手过的桃而我心里只有你将离别的悲伤，原来很早之前就在球场上暗示过喜欢你。“每开始一段新的感情，我们能给予的便越少，但为了让自己没有感觉而不去感觉，多么浪费…别让这些痛苦消失，也别丧失你感受到的快乐”2017最佳！', '看书的时候就像我的日记被人偷看了一样, 几乎每一个细节和心理描写我都能感同身受. 电影还原地很棒, 但是你们这样刷高分会让人觉得LGBT群体没看过什么好电影', '能等到它拍成电影 活着真好']"
小森林 夏秋篇,9.0,全部 65982 条,"['呃，原来是舌尖上的日本农村……农村的生活能有这么优雅就好了，干了一天农活还有力气花几个小时做酱，晒不黑，手上不长茧……没有电影没有鼠，也不听音乐，才不想过这样的生活……', '劳作令人无暇烦恼，片中的人物时而离凡世很远，时而又触手可及。我们有舌尖上的中国，通篇累述奉献、感恩，手艺传承和文化气节，却没人教导我们劳作本身的意义。一屋一田一人食，已是最令人羡慕的事。', '3.5。1.绝非舌尖拍法，倒是好令我怀念20年前的乡下少年时光。2.手背长嫩芽的瞬间幻想+1。3.路边野果胡颓子，拼命长大结果，到头来却付水东流。4.红色果酱是我的心的颜色。5.胃里住着青蛙。6.水稻生命里的两次飞行：抛秧、收割。7.独角仙、萤火虫、红点鲑、雨久花。', '人生在世，无非就是过日子，而如何能让过日子变的有滋有味，我想不到除了充实的劳动/工作+美味的食物更好的方式了。桥本爱不矫作真自然，让人心生欢喜宁静。也许中国需要等待很久很久之后，才能拍出这种气息的片子了。', '当成舌尖上的日本看了。']"
哈利·波特与死亡圣器(下),8.8,全部 87684 条,"['经历了Pt. 1的铺垫全片只有高潮. 零点首映结束后全场鼓掌很久. 于是余生就再也不会有新的Harry Potter电影了.', '我就想问问，年轻的格林德沃和邓布利多在哪儿？！都是坑爹的噱头啊！！', '3.5★ 不談感情，這是我看完HP7.2的感受。如果你睡得朦朦朧朧的去看早場，也許會冷靜幾倍。HP7.2給我的感覺是結構很鬆散，簡略帶過、細節位少、3D失敗、配樂還算可以，有炫酷的特技、奈威和露娜的出場成亮點，說到笑位應該屬於最後成老爸、老媽那一段了。最後只能說：我們長大了，電影沒一起長大。', '麦格教授挺身而出的时候我都快泪奔了~~', '3D+IMAX观影体验极赞！不得不说，这是除第一部给我带来惊喜以后的又一次盛宴。给予五星并不单纯是因为伴随着这么多年下来的感情，还同时因为影片本身也很出色。情节紧凑，诸多场景颇具压迫感，从始至终满满都是高潮。伴随着那辆驶向霍格沃兹得列车开出，积累两个小时的情绪终究爆发。★★★★★']"
消失的爱人,8.7,全部 148960 条,"['相信我...其实，这就是马伊琍和文章的故事...', 'I love David Fincher! P.S.: 开始前，旁边坐在一群couples中的单身小哥无聊郁闷地喝咖啡；结束后，他幸灾乐祸地跟我说，Now every couple feels no good...', '特别喜欢在汽车旅馆打劫Amy的那对小流氓，简单直接，秒杀了没事瞎折腾的女主', '原著就是个三流小说，搬上银幕也毫无加分。婚姻的牛逼之处在杀人于无形，如《革命之路》，相比之下，真的动刀动枪反而低级。', '最近看了太多不温不火的文艺片 芬奇叔一出手直接被震得回不到现实世界 原作者执笔很棒 跳切这么多叙事一点都不乱! 女主是一朵最高等级的白莲花! 人美心狠手辣 专注高层次人格扭曲数十年! 自打中段揭露是自导自演以后 我胃部搅动和后脑发麻的感觉就没停过啊! 层层转折后的结局那真是让人倒吸一口凉气!']"
7号房的礼物,8.9,全部 69462 条,"['韩片一定要这样吗！！！哭肿了都', '对亲情，友情之类的无法抵抗，影片后面女儿和爸爸在监狱门口分别那里哭得不能自已。', '影片的核心是亲情，包括父亲对孩子的照料，孩子对父亲的反哺，虽然存在过度的煽情，但是影片不仅是亲情片，通过狱中的亲情和友情营造的温暖，与现实中司法不公媒体跟风权力滥用阴暗面的对比，起到了鲜明的讽刺作用。', '从头哭到了尾 即使是很喜剧很温馨的地方也因为其沉重的故事而产生极大反差 更是戳泪点', '他们甚至不惜冒险将艺胜带入牢房与父亲相会。\n黑暗冰冷的监牢内，7号牢房阳光满满']"
玛丽和马克思,8.9,全部 75705 条,"['God gave us our relatives, thank god we can choose our friends.', '每个人都不完美，每个人的人生也总是不完美的，这不是一部迪斯尼电影，所以不会有Happily ever after。一部动画深刻到这步田地，我挺佩服的，挺喜欢的，其实自己也会有那么一时三刻很像Mary也像Max，自卑焦虑又孤独又低落，倒霉的事儿有时也发生，所以有点懂有点感动.', '所以说，一般让人哭得那么惨的片子大半都是自传体。看到一豆友的短评“我们为什么需要3D？”说得真好，我们已经有这么优秀的2D动画了。这是09年最让我感动的动画电影', '只有宇宙和人类的寂寞是永恒的', '我一直不明白一个问题，有趣是不是源于自卑和寂寞？']"
红辣椒,9.0,全部 58585 条,"['看这片的时候一直在怀疑自己的智商，不敢松懈半点，生怕脑力不够用。看罢更一直觉得身在梦中，久久醒不过来，今敏脑子里都在想些什么。。这片牛逼到可怕，高级到渗人，精彩到傻眼，色彩和配乐也是满分。甩开诺兰的盗梦何止十条街。谎言与真实，梦境与现实，其实一直在并存。我想给10星。', 'Amazing！电影是最伟大的造梦机器！我觉得比盗梦空间还牛逼！', '好多场景跟《盗梦空间》好像啊~巧合么？。。。', '梦境对现实的入侵真是惊悚而奇趣啊啊！相比之下“盗梦空间”相形见绌了——或者说正是因为“盗梦空间”太讲求规则与逻辑，反而失去了今敏天马行空、随心所欲的创造力～～～', '“相对于深远的梦境来说，科学可能不过是一堆垃圾而已。” ']"
爱在黎明破晓前,8.8,全部 93556 条,"['两个人在试听间里听爱情歌曲的那一段，局促的空间里，想看对方，又有些矜持，目光刚一接触就赶紧离开，那么一段长长的时间，很好。餐厅里互打电话。对话总是很聪明。“很多人结婚的理由比这还少。”', '偷得浮生半日，换取相知一世。', '全是对白的100分钟，能让你一点都不觉得沉闷，还泛起很多心思。当然是好片啦。', '当年抱着打不开字幕的盗版碟一句一句听写下来台词，一遍一遍读得爱不释手以至烂熟于心，然后我裸考雅思就7分了。。。', '有一次，在旅途上认识一姑娘，漂亮温柔。我们一起玩儿的挺开心，傍晚一起坐在草地上喝啤酒看流星，突然她问我：”看过《爱在黎明破晓前》那部电影没？“我说没看过呀！........后来我们喝完各自回房间睡了，等我回家，想起她说的话，下了一部看，看完我肠子都悔青了！']"
告白,8.7,全部 130941 条,"['中岛哲也导演《下妻物语》《被嫌弃的松子的一生》《告白》可以算华丽三部曲，都喜欢，但这部太厉害，太好看，形式感，音乐衬底，故事内容，叙事方式，以及一大堆萝莉正太扎堆，以优雅、轻松、热闹的外在形式，表达巨大的无边的哀凉和悲观，太对个人胃口了。100分。', '没有一人完全善，也没有一人完全恶。同情厌恶惊悚与快感最后一起炸裂，强烈震撼。\r\n导演把黑暗绝望情节拍得如此娱乐好看，令人汗毛倒竖。', '这片告诉我们，正太与萝莉都是斗不过御姐的……', '有三个理由给五星。其一，短评前几页充斥着“你丫要是打五星就是十足的傻逼弱智加白痴”，没错白痴总是是很多的，不介意加我一个；其二，没看过原著，没资格对其差异说三道四，但片子的流畅有足够的理由吸引我满106分钟；其三，中岛哲也一次不同以往的尝试，华丽的中岛很好看，阴暗的一样精彩。', '非常喜欢配乐和故事内容\n\n真实和娱乐的美丽融合，好久没看到过如此接近艺术的电影了。\n\n突然想起2年前的现在秋叶原发生的无差别杀人事件，但愿这部电影能给这个连生命的可贵都渐渐被淡忘的社会带来一次重新回忆，体会和理解它的机会吧！\n']"
